day,time,course_name,semester
Rabu,07:00 - 08:50,Otomata - G,4
Rabu,07:00 - 08:50,Pembelajaran Mesin - F,4
Rabu,07:00 - 08:50,Pemrograman Jaringan - D,4
Rabu,07:00 - 08:50,Pemrograman Web - RKA (N),4
Rabu,07:00 - 08:50,Perancangan dan Analisis Algoritma - D (EN),4
Rabu,07:00 - 08:50,Perancangan Perangkat Lunak - D,4
Rabu,07:00 - 08:50,Probabilitas dan Statistik - E,4
Rabu,07:00 - 08:50,Sistem Operasi - C,2
Rabu,07:00 - 08:50,Struktur Data - RKA (N),2
Rabu,07:00 - 08:50,Topik Dalam Grafika Komputer - A,1
Rabu,07:00 - 08:50,Topik Khusus Algoritma dan Pemrograman - T,6
Rabu,10:00 - 11:50,Interaksi Manusia dan Komputer - B,6
Rabu,10:00 - 11:50,Komputasi Numerik - RPL (M),2
Rabu,10:00 - 11:50,Metode Penelitian - A,2
Rabu,10:00 - 11:50,Organisasi Komputer - D,2
Rabu,10:00 - 11:50,Organisasi Komputer - IUP,2
Rabu,10:00 - 11:50,Otomata - RPL (M),4
Rabu,10:00 - 11:50,Pembelajaran Mesin - G,4
Rabu,10:00 - 11:50,Pengantar Teknologi Elektro dan Informatika Cerdas - B,2
Rabu,10:00 - 11:50,Pengolahan Citra Digital - RKA (N),4
Rabu,10:00 - 11:50,Perancangan dan Analisis Algoritma - E,4
Rabu,10:00 - 11:50,Perancangan Perangkat Lunak - E,4
Rabu,10:00 - 11:50,Probabilitas dan Statistik - C,4
Rabu,10:00 - 11:50,Sistem Operasi - D,2
Rabu,10:00 - 11:50,Topik Dalam Big Data - A,1
Rabu,10:00 - 11:50,Topik Dalam Manajemmen Proyek Perangkat Lunak - A,1
Rabu,11:00 - 11:50,Kebudayaan dan Kebangsaan - IUP,4
Rabu,13:30 - 15:20,Dasar Pemrograman - T,1
Rabu,13:30 - 15:20,Deep Learning - T,6
Rabu,13:30 - 15:20,Jaringan Komputer - RKA (N),4
